,Name,Address,Lattitude,Longitude,Faculty,Type,city,district,,,Ariyalur
117,RATNAVEL SUBRAMANIAM POLYTECHNIC COLLEGE,"Padiyur, Tamil Nadu 624005, India",10.4223077,78.0089379,Polytechnic,Self Finance,,Dindgul,,,
118,The Christian Inst. for Tech Edn(Polytechnic College),"Near Check Post,Dindigul, Oddanchatram, Tamil Nadu 624619, India",10.48,77.75,Polytechnic,Self Finance,,Dindgul,,,
119,THANGAM-MUTHU POLYTECHNIC COLLEGE,"Theni By-Pass, RMTC Colony, Theni, Tamil Nadu 625531, India",10.1294883,77.6014981,Polytechnic,Self Finance,,Theni,,,
120,ARULMIGU KALLALAKAR POLYTECHNIC COLLEGE,"Attukulam, Tamil Nadu 625106, India",10.0127945,78.3601238,Polytechnic,Self Finance,,Madurai,,,
121,Seikalathur kamatchi amman polytechnic college manamadurai,"Manamadurai, Tamil Nadu 630609, India",9.7257475,78.4613407,Polytechnic,Self Finance,,Sivagangai,,,
122,ARULMIGU KALASALINGAM POLYTECHNIC COLLEGE,"Anand Nagar, Krishnankoil, Srivilliputtur, Virudhunagar, Tamil Nadu 626190, India",9.5727342,77.6730964,Polytechnic,Self Finance,,Virudhunagar,,,
123,RAMU-SEETHA POLYTECHNIC COLLEGE,"Kariapatti, Mandhiri Odai, Tamil Nadu 626115, India",9.6935747,78.1074178,Polytechnic,Self Finance,,Virudhunagar,,,
124,SEETHAIAMMAL POLYTECHNIC COLLEGE,"Tirupparankunram Rd, Jaihindpuram, Madurai, Tamil Nadu 625011, India",9.9088746,78.1097785,Polytechnic,Self Finance,Madurai,Madurai,,,
125,SRI SOWDAMBIKA POLYTECHNIC COLLEGE,"Thiruchuli Rd, Vellakottai, Near Chokkanathar temple, Aruppukkottai, Tamil Nadu, India",9.5054092,78.1016118,Polytechnic,Self Finance,,Virudhunagar,,,
126,PASUMPON NETHAJI POLYTECHNIC COLLEGE,"Melaneelithanallur, A.R, P.Nagar, Sankarankovil, Tamil Nadu 627953, India",9.0783624,77.5952603,Polytechnic,Self Finance,,Tenkasi,,,
127,LAKSHMI AMMAL POLYTECHNIC COLLEGE,"Puliyangudi - Sankarankoil - Kalugumalai - Nalatinputhur Road, K.R. Nagar, Kovilpatti, Tamil Nadu 628503, India",9.1497819,77.8368607,Polytechnic,Self Finance,,Thoothukkudi,,,
128,S.A.RAJA’S POLYTECHNIC COLLEGE,"College Road, Kavalkinaru, Vadakankulam, Tamil Nadu 627116, India , College Rd, Raja Nagar, Alaganeri, Tamil Nadu 627116, India",8.2408503,77.605716,Polytechnic,Self Finance,,Tirunelveli,,,
129,GOMATHI AMBAL POLYTECHNIC COLLEGE,"Maaveeran Poolithevar Nagar, Malaiyadikurichi, Kadayanallur Taluk, Tirunelveli, Tamil Nadu 627755, India",8.7139127,77.7566524,Polytechnic,Self Finance,,Tirunelveli,,,
130,ST XAVIER’S POLYTECHNIC COLLEGE,"Seydunganallur, Tamil Nadu 628809, India",8.6622303,77.8232351,Polytechnic,Self Finance,,Thoothukkudi,,,
131,MORNING STAR POLYTECHNIC COLLEGE,"Aloor Chunkankadai Rd, Chunkan Kadai, Nagercoil, Tamil Nadu 629003, India",8.1978236,77.3807538,Polytechnic,Self Finance,,Kanyakumari,,,
